NAME,MEAN_VANILLA,MIN_VANILLA,MAX_VANILLA
bt,56.10566666666666666666,50.40,60.69
cg,22.58966666666666666666,20.16,27.82
ft,22.73166666666666666666,22.32,23.34
lu,41.07633333333333333333,35.80,67.31
mg,10.24266666666666666666,9.66,11.06
sp,81.97900000000000000000,70.60,92.02
lulesh,406.15384615384615384615,320,530
