NAME,DIFF
bt,.38
bt,1.62
bt,2.03
bt,1.03
bt,.97
bt,.76
bt,1.95
cg,3.46
cg,2.95
cg,3.43
cg,3.94
cg,4.52
cg,4.85
cg,3.74
ep,0
ep,0
ep,.01
ep,0
ep,0
ep,0
ep,0
ft,.42
ft,.07
ft,.07
ft,.13
ft,.10
ft,.09
ft,.06
is,.01
is,.07
is,.05
is,.06
is,.03
is,.04
is,0
lu,22.35
lu,15.49
lu,16.20
lu,21.17
lu,20.31
lu,14.54
lu,18.12
mg,.64
mg,.69
mg,.61
mg,.78
mg,.84
mg,.65
mg,.84
sp,2.75
sp,4.09
sp,.98
sp,1.49
sp,1.63
sp,1.86
sp,3.28
