NAME,MEAN_EZTRACE,MIN_EZTRACE,MAX_EZTRACE
bt,122.20000000000000000000,122.20,122.20
cg,90.50000000000000000000,90.50,90.50
ft,31.63000000000000000000,31.63,31.63
lu,102.52000000000000000000,102.52,102.52
mg,76.36000000000000000000,76.36,76.36
sp,388.49000000000000000000,388.49,388.49
