source,algo,n_calls,total_time,min,max,mean
lu,write,10026,1.64146e+07,0,117693,1637.2
lu,write_vector,80,2.83701e+11,0,3.71569e+10,3.54626e+09
lu,write_duration_vector,34,7.89378e+10,0,1.17193e+10,2.3217e+09
lu,write_dur_subvec,435,3.10319e+10,0,3.44315e+08,7.13377e+07
lu,write_subvec,1448,1.33805e+11,0,6.2121e+08,9.24067e+07
lu,zstd,1883,6.2469e+10,0,4.06738e+08,3.31753e+07
lu,write,10026,1.63888e+07,0,134004,1634.63
lu,write_vector,80,2.92258e+11,0,4.07645e+10,3.65322e+09
lu,write_duration_vector,34,7.57399e+10,0,9.63635e+09,2.22764e+09
lu,write_dur_subvec,435,2.96934e+10,0,3.85259e+08,6.82606e+07
lu,write_subvec,1448,1.35345e+11,0,4.65916e+08,9.34706e+07
lu,zstd,1883,6.17833e+10,0,3.96406e+08,3.28111e+07
lu,write,10026,1.67268e+07,0,144874,1668.34
lu,write_vector,80,2.95111e+11,0,4.04981e+10,3.68888e+09
lu,write_duration_vector,34,7.94603e+10,0,1.06839e+10,2.33707e+09
lu,write_dur_subvec,435,3.23917e+10,0,3.74708e+08,7.44637e+07
lu,write_subvec,1448,1.35585e+11,0,4.677e+08,9.36363e+07
lu,zstd,1883,6.43201e+10,0,4.35446e+08,3.41583e+07
lu,write,10026,1.62829e+07,0,110963,1624.07
lu,write_vector,80,2.97251e+11,0,3.76566e+10,3.71564e+09
lu,write_duration_vector,34,8.20124e+10,0,1.09639e+10,2.41213e+09
lu,write_dur_subvec,435,3.15536e+10,0,3.41572e+08,7.2537e+07
lu,write_subvec,1448,1.38023e+11,0,5.19016e+08,9.53196e+07
mg,zstd,438,1.35023e+10,0,1.59545e+08,3.08273e+07
mg,write,7272,3.81262e+06,0,42121,524.288
mg,write_vector,281,7.01875e+10,0,1.03017e+09,2.49778e+08
mg,write_duration_vector,139,4.50002e+10,0,9.6099e+08,3.23743e+08
mg,write_dur_subvec,139,1.26616e+10,0,2.97595e+08,9.10909e+07
mg,write_subvec,299,2.92557e+10,0,4.2345e+08,9.78452e+07
mg,zstd,438,1.4385e+10,0,2.23382e+08,3.28426e+07
mg,write,7272,3.60104e+06,0,29131,495.193
mg,write_vector,281,7.19379e+10,0,1.09944e+09,2.56007e+08
mg,write_duration_vector,139,4.54899e+10,0,6.96214e+08,3.27266e+08
mg,write_dur_subvec,139,1.15201e+10,0,5.06884e+08,8.28786e+07
mg,write_subvec,299,2.80655e+10,0,3.28264e+08,9.38645e+07
mg,zstd,438,1.35979e+10,0,1.26455e+08,3.10454e+07
mg,write,7272,8.90549e+06,0,5.18179e+06,1224.63
mg,write_vector,281,7.13694e+10,0,1.278e+09,2.53983e+08
mg,write_duration_vector,139,4.75499e+10,0,7.56639e+08,3.42085e+08
mg,write_dur_subvec,139,1.29088e+10,0,3.77352e+08,9.2869e+07
mg,write_subvec,299,2.71464e+10,0,3.24647e+08,9.07906e+07
mg,zstd,438,1.37131e+10,0,2.39298e+08,3.13085e+07
mg,write,7272,3.56459e+06,0,105423,490.181
mg,write_vector,281,7.28169e+10,0,1.29802e+09,2.59135e+08
mg,write_duration_vector,139,4.70993e+10,0,9.73025e+08,3.38844e+08
mg,write_dur_subvec,139,1.22056e+10,0,3.15098e+08,8.78103e+07
mg,write_subvec,299,2.8084e+10,0,3.83539e+08,9.39263e+07
mg,zstd,438,1.37485e+10,0,1.75896e+08,3.13892e+07
mg,write,7272,3.77001e+06,0,56961,518.428
mg,write_vector,281,6.99426e+10,0,1.50169e+09,2.48906e+08
mg,write_duration_vector,139,4.52138e+10,0,9.13123e+08,3.25279e+08
mg,write_dur_subvec,139,1.25487e+10,0,3.46883e+08,9.02787e+07
mg,write_subvec,299,2.80784e+10,0,3.63535e+08,9.39077e+07
mg,zstd,438,1.55209e+10,0,2.57814e+08,3.54359e+07
mg,write,7272,4.02489e+06,0,91112,553.478
mg,write_vector,281,7.54987e+10,0,1.55906e+09,2.68679e+08
mg,write_duration_vector,139,4.69236e+10,0,9.79838e+08,3.3758e+08
mg,write_dur_subvec,139,1.34221e+10,0,3.38233e+08,9.65618e+07
mg,write_subvec,299,3.03928e+10,0,3.98609e+08,1.01648e+08
mg,zstd,438,1.5897e+10,0,3.5523e+08,3.62945e+07
mg,write,7272,3.68596e+06,0,39421,506.87
mg,write_vector,281,7.31753e+10,0,1.65653e+09,2.6041e+08
mg,write_duration_vector,139,4.77258e+10,0,1.13723e+09,3.43351e+08
mg,write_dur_subvec,139,1.40712e+10,0,4.6897e+08,1.01231e+08
mg,write_subvec,299,3.04965e+10,0,4.44726e+08,1.01995e+08
mg,zstd,438,1.41694e+10,0,1.58488e+08,3.23503e+07
mg,write,7272,3.69945e+06,0,114893,508.725
mg,write_vector,281,7.79887e+10,0,1.64416e+09,2.7754e+08
mg,write_duration_vector,139,4.55103e+10,0,1.14958e+09,3.27412e+08
mg,write_dur_subvec,139,1.24201e+10,0,3.58076e+08,8.93531e+07
mg,write_subvec,299,3.16321e+10,0,3.41455e+08,1.05793e+08
mg,zstd,438,1.42679e+10,0,1.9516e+08,3.2575e+07
mg,write,7272,3.59623e+06,0,34261,494.531
mg,write_vector,281,7.57621e+10,0,1.01176e+09,2.69616e+08
mg,write_duration_vector,139,4.7895e+10,0,8.46034e+08,3.44568e+08
mg,write_dur_subvec,139,1.41085e+10,0,4.68714e+08,1.015e+08
mg,write_subvec,299,3.01425e+10,0,3.93624e+08,1.00811e+08
mg,zstd,438,1.46451e+10,0,1.72796e+08,3.34364e+07
mg,write,7272,3.73456e+06,0,73602,513.553
mg,write_vector,281,7.60405e+10,0,1.10939e+09,2.70607e+08
mg,write_duration_vector,139,4.71172e+10,0,8.66447e+08,3.38972e+08
mg,write_dur_subvec,139,1.30038e+10,0,5.81288e+08,9.35522e+07
mg,write_subvec,299,3.08574e+10,0,6.05397e+08,1.03202e+08
mg,zstd,438,1.31687e+10,0,1.50794e+08,3.00656e+07
mg,write,7272,3.89021e+06,0,120783,534.958
mg,write_vector,281,7.13283e+10,0,1.16858e+09,2.53837e+08
mg,write_duration_vector,139,4.57451e+10,0,9.6249e+08,3.29102e+08
mg,write_dur_subvec,139,1.21869e+10,0,3.02796e+08,8.76754e+07
mg,write_subvec,299,2.79863e+10,0,3.8807e+08,9.35998e+07
mg,zstd,438,1.41133e+10,0,2.8091e+08,3.22223e+07
mg,write,7272,3.87092e+06,0,37561,532.305
mg,write_vector,281,7.48355e+10,0,1.13891e+09,2.66319e+08
mg,write_duration_vector,139,4.68759e+10,0,8.3084e+08,3.37237e+08
mg,write_dur_subvec,139,1.26757e+10,0,3.83596e+08,9.11924e+07
mg,write_subvec,299,2.96962e+10,0,4.60425e+08,9.93185e+07
mg,zstd,438,1.50517e+10,0,3.83883e+08,3.43647e+07
mg,write,7272,3.843e+06,0,101412,528.466
mg,write_vector,281,7.52801e+10,0,1.3287e+09,2.67901e+08
mg,write_duration_vector,139,4.6192e+10,0,7.77932e+08,3.32316e+08
mg,write_dur_subvec,139,1.33953e+10,0,4.3593e+08,9.63694e+07
mg,write_subvec,299,2.94573e+10,0,4.29045e+08,9.85195e+07
mg,zstd,438,1.48412e+10,0,3.78495e+08,3.38841e+07
mg,write,7272,3.67228e+06,0,80402,504.989
mg,write_vector,281,7.43227e+10,0,1.28411e+09,2.64494e+08
